13310.0000,743.2684,0.0454,743.1718,743.3701,219.9685,0.6165,219.1240,224.1462,220.0720,0.2811,219.5594,220.6595,220.2077,0.2948,219.6767,220.8170,239.1475,0.2026,238.7900,239.5000,1
13822.0000,743.3758,0.0500,743.2850,743.5185,219.2890,0.3930,218.7639,221.6250,219.3405,0.2091,218.8994,219.7094,219.5393,0.1780,219.0966,219.8867,238.4082,0.2267,238.0000,238.7900,1
14334.0000,744.1015,0.3536,743.4771,744.6290,218.5475,0.5868,217.6336,221.8551,218.3445,0.3173,217.7695,219.3194,218.6755,0.2932,218.0565,219.3166,237.5924,0.2350,237.1900,238.0000,1
14846.0000,744.8373,0.0977,744.5930,744.9694,218.1711,0.6740,217.0735,222.0051,217.6084,0.2713,216.7997,218.2694,218.1389,0.2806,217.2364,218.8265,236.8032,0.2241,236.4200,237.1900,1
15358.0000,744.3457,0.3142,743.9164,744.9377,218.4777,1.5443,216.8534,223.2757,216.8605,0.1878,216.4279,217.4895,217.5111,0.2348,217.0664,218.3165,236.0157,0.2293,235.6200,236.4200,1
15870.0000,743.9180,0.0225,743.8547,743.9901,220.4608,0.6901,218.7639,222.7755,216.9466,0.3293,216.1180,217.7995,217.6558,0.3183,216.6764,218.4065,235.2078,0.2533,234.7500,235.6300,1
16382.0000,743.9890,0.0237,743.9142,744.0479,220.1677,0.7128,218.2638,221.8451,216.3690,0.4074,215.4982,217.2696,216.9127,0.2622,216.3264,217.5164,234.2702,0.2835,233.7700,234.7500,1
16894.0000,744.0411,0.0360,743.9551,744.1280,220.4146,0.5437,219.2741,221.7450,217.2530,0.2324,216.5278,217.8895,217.1734,0.2140,216.6664,217.6164,233.2348,0.3138,232.6900,233.7700,1
17406.0000,744.1710,0.0987,744.0573,744.4839,218.8760,0.5079,217.9337,219.9143,216.2491,0.5084,215.3482,217.1496,215.9322,0.5048,215.0666,216.7964,232.1164,0.3367,231.5300,232.6900,1
17918.0000,745.0736,0.2827,744.4688,745.4656,217.3249,0.4476,216.3833,218.1638,214.3913,0.5370,213.5372,215.4382,214.1759,0.5176,213.2651,215.0966,230.9196,0.3477,230.3300,231.5200,1
18430.0000,745.5940,0.0683,745.4231,745.7080,215.7069,0.5201,214.0928,216.5734,212.6184,0.6038,211.6684,213.6871,212.2545,0.6874,211.1160,213.4050,229.7035,0.3603,229.0900,230.3200,1
18942.0000,745.2479,0.2969,744.7637,745.6942,214.0618,0.6018,212.3326,215.1731,210.7357,0.5609,209.6602,211.7984,210.0946,0.6152,208.9752,211.1559,228.4775,0.3540,227.8600,229.0900,1
19454.0000,744.6181,0.0778,744.4820,744.8100,212.1621,0.6453,210.7724,213.4728,208.5674,0.6671,207.4124,209.7201,207.8908,0.6523,206.7068,208.9952,227.2118,0.3812,226.5400,227.8600,1
19966.0000,744.5070,0.0280,744.4391,744.5900,209.9786,0.6757,208.5920,211.3524,206.3487,0.6088,205.4048,207.4824,205.6992,0.5767,204.7385,206.8067,225.8315,0.4127,225.1200,226.5400,1
20478.0000,744.6357,0.0769,744.5272,744.8886,207.8090,0.6102,206.5217,209.1121,204.5215,0.6909,203.2076,205.6345,203.9572,0.6518,202.7504,204.9183,224.3445,0.4494,223.5700,225.1100,1
20990.0000,745.3511,0.2168,744.8675,745.7390,205.9696,0.5006,204.9313,207.1618,202.4451,0.4744,201.5399,203.3574,201.8541,0.4740,200.9123,202.8003,222.8232,0.4275,222.1000,223.5700,1
21502.0000,746.0257,0.1537,745.7082,746.2999,204.2599,0.5089,203.2808,205.2814,200.7944,0.4788,199.8722,201.6597,200.1595,0.4787,199.2442,201.0023,221.3691,0.4176,220.6400,222.0900,1
